Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
app-ideas,2019-02-25T18:36:56Z,149,0,2025-03-02T21:02:49Z,N/A,36,64
bitcoin,2010-12-19T15:16:43Z,14933,54,2025-03-02T21:49:44Z,C++,100,0
ui,2023-01-04T12:43:27Z,499,37,2025-03-02T21:48:04Z,TypeScript,99,1
svelte,2016-11-20T18:13:05Z,5494,396,2025-03-02T20:07:19Z,JavaScript,100,0
fastapi,2018-12-08T08:21:47Z,2578,203,2025-03-02T21:28:29Z,Python,99,1
NextChat,2023-03-10T18:27:54Z,875,76,2025-03-02T21:53:50Z,TypeScript,100,0
animate.css,2011-10-12T10:07:38Z,315,22,2025-03-02T21:13:04Z,CSS,100,0
realworld,2016-02-26T20:49:53Z,433,0,2025-03-02T20:02:08Z,TypeScript,95,5
opencv,2012-07-19T09:40:17Z,12736,65,2025-03-02T21:05:32Z,C++,59,41
gin,2014-06-16T23:57:25Z,1046,26,2025-03-02T21:13:14Z,Go,99,1
awesome-mac,2016-07-17T15:33:47Z,949,10,2025-03-02T21:33:20Z,JavaScript,92,8
open-webui,2023-10-06T22:08:27Z,1764,94,2025-03-02T21:46:38Z,JavaScript,0,0
laravel,2011-06-08T03:06:08Z,1610,184,2025-03-02T20:49:30Z,Blade,0,0
mall,2018-04-04T01:11:44Z,1,3,2025-03-02T20:51:48Z,Java,99,1
hugo,2013-07-04T15:26:26Z,2797,316,2025-03-02T21:47:32Z,Go,100,0
FiraCode,2014-11-11T19:32:38Z,136,29,2025-03-02T19:23:57Z,Clojure,81,19
supabase,2019-10-12T05:56:49Z,11235,19,2025-03-02T21:10:24Z,TypeScript,100,0
models,2016-02-05T01:15:20Z,2337,48,2025-03-02T15:17:21Z,Python,100,0
whisper,2022-09-16T20:02:54Z,110,12,2025-03-02T21:38:38Z,Python,0,0
advanced-java,2018-10-06T11:38:30Z,86,1,2025-03-02T20:51:50Z,Java,99,1
core,2013-09-17T07:29:48Z,70140,1000,2025-03-02T21:19:49Z,Python,100,0
bun,2021-04-14T00:48:17Z,4789,180,2025-03-02T20:38:46Z,Zig,95,5
spring-boot,2012-10-19T15:02:57Z,42,300,2025-03-02T19:53:17Z,Java,100,0
